model,generated_image,original_case,original_image,mse
2_attention_layer,2_layers_im0.png,Case_N006,slice_000.npy,0.07035540789365768
2_attention_layer,2_layers_im0.png,Case_N006,slice_001.npy,0.06719736009836197
2_attention_layer,2_layers_im0.png,Case_N006,slice_002.npy,0.04911746829748154
2_attention_layer,2_layers_im0.png,Case_N006,slice_003.npy,0.043676577508449554
2_attention_layer,2_layers_im0.png,Case_N006,slice_004.npy,0.04120849817991257
2_attention_layer,2_layers_im0.png,Case_N006,slice_005.npy,0.04428596422076225
2_attention_layer,2_layers_im0.png,Case_N006,slice_006.npy,0.03919579088687897
2_attention_layer,2_layers_im0.png,Case_N006,slice_007.npy,0.04310678690671921
2_attention_layer,2_layers_im0.png,Case_N006,slice_008.npy,0.04798644036054611
2_attention_layer,2_layers_im0.png,Case_N012,slice_000.npy,0.07831632345914841
2_attention_layer,2_layers_im0.png,Case_N012,slice_001.npy,0.08691591024398804
2_attention_layer,2_layers_im0.png,Case_N012,slice_002.npy,0.08748339116573334
2_attention_layer,2_layers_im0.png,Case_N012,slice_003.npy,0.06308214366436005
2_attention_layer,2_layers_im0.png,Case_N012,slice_004.npy,0.08007871359586716
2_attention_layer,2_layers_im0.png,Case_N012,slice_005.npy,0.07732807099819183
2_attention_layer,2_layers_im0.png,Case_N012,slice_006.npy,0.05715395510196686
2_attention_layer,2_layers_im0.png,Case_N012,slice_007.npy,0.06889763474464417
2_attention_layer,2_layers_im0.png,Case_N012,slice_008.npy,0.0638342872262001
2_attention_layer,2_layers_im0.png,Case_N013,slice_000.npy,0.05608522146940231
2_attention_layer,2_layers_im0.png,Case_N013,slice_001.npy,0.06586700677871704
2_attention_layer,2_layers_im0.png,Case_N013,slice_002.npy,0.054436687380075455
2_attention_layer,2_layers_im0.png,Case_N013,slice_003.npy,0.06251461058855057
2_attention_layer,2_layers_im0.png,Case_N013,slice_004.npy,0.027910007163882256
2_attention_layer,2_layers_im0.png,Case_N013,slice_005.npy,0.02235528454184532
2_attention_layer,2_layers_im0.png,Case_N013,slice_006.npy,0.047759123146533966
2_attention_layer,2_layers_im0.png,Case_N013,slice_007.npy,0.059742867946624756
2_attention_layer,2_layers_im0.png,Case_N014,slice_000.npy,0.0494302399456501
2_attention_layer,2_layers_im0.png,Case_N014,slice_001.npy,0.05260627716779709
2_attention_layer,2_layers_im0.png,Case_N014,slice_002.npy,0.050207436084747314
2_attention_layer,2_layers_im0.png,Case_N014,slice_003.npy,0.05785699933767319
2_attention_layer,2_layers_im0.png,Case_N014,slice_004.npy,0.07018683850765228
2_attention_layer,2_layers_im0.png,Case_N014,slice_005.npy,0.0766470804810524
2_attention_layer,2_layers_im0.png,Case_N016,slice_000.npy,0.03722620755434036
2_attention_layer,2_layers_im0.png,Case_N016,slice_001.npy,0.04064379259943962
2_attention_layer,2_layers_im0.png,Case_N016,slice_002.npy,0.03099837526679039
2_attention_layer,2_layers_im0.png,Case_N016,slice_003.npy,0.03627540171146393
2_attention_layer,2_layers_im0.png,Case_N018,slice_000.npy,0.056997150182724
2_attention_layer,2_layers_im0.png,Case_N018,slice_001.npy,0.03396403416991234
2_attention_layer,2_layers_im0.png,Case_N018,slice_002.npy,0.04043792933225632
2_attention_layer,2_layers_im0.png,Case_N018,slice_003.npy,0.031777914613485336
2_attention_layer,2_layers_im0.png,Case_N018,slice_004.npy,0.03545231372117996
2_attention_layer,2_layers_im0.png,Case_N018,slice_005.npy,0.03517922759056091
2_attention_layer,2_layers_im0.png,Case_N018,slice_006.npy,0.033422186970710754
2_attention_layer,2_layers_im0.png,Case_N018,slice_007.npy,0.05382027477025986
2_attention_layer,2_layers_im0.png,Case_N020,slice_000.npy,0.08382849395275116
2_attention_layer,2_layers_im0.png,Case_N020,slice_001.npy,0.08301105350255966
2_attention_layer,2_layers_im0.png,Case_N020,slice_002.npy,0.08081170171499252
2_attention_layer,2_layers_im0.png,Case_N020,slice_003.npy,0.09514197707176208
2_attention_layer,2_layers_im0.png,Case_N020,slice_004.npy,0.10028239339590073
2_attention_layer,2_layers_im0.png,Case_N020,slice_005.npy,0.11288046836853027
2_attention_layer,2_layers_im0.png,Case_N020,slice_006.npy,0.09755551815032959
2_attention_layer,2_layers_im0.png,Case_N023,slice_000.npy,0.05851177126169205
2_attention_layer,2_layers_im0.png,Case_N023,slice_001.npy,0.04903145506978035
2_attention_layer,2_layers_im0.png,Case_N023,slice_002.npy,0.038092076778411865
2_attention_layer,2_layers_im0.png,Case_N023,slice_003.npy,0.03744900971651077
2_attention_layer,2_layers_im0.png,Case_N023,slice_004.npy,0.049154818058013916
2_attention_layer,2_layers_im0.png,Case_N023,slice_005.npy,0.055217206478118896
2_attention_layer,2_layers_im0.png,Case_N023,slice_006.npy,0.04966498911380768
2_attention_layer,2_layers_im0.png,Case_N023,slice_007.npy,0.05509013682603836
2_attention_layer,2_layers_im0.png,Case_N024,slice_000.npy,0.058970797806978226
2_attention_layer,2_layers_im0.png,Case_N024,slice_001.npy,0.05777765437960625
2_attention_layer,2_layers_im0.png,Case_N024,slice_002.npy,0.04197434335947037
2_attention_layer,2_layers_im0.png,Case_N024,slice_003.npy,0.04397811368107796
2_attention_layer,2_layers_im0.png,Case_N024,slice_004.npy,0.04295099154114723
2_attention_layer,2_layers_im0.png,Case_N024,slice_005.npy,0.04067244008183479
2_attention_layer,2_layers_im0.png,Case_N024,slice_006.npy,0.04418165609240532
2_attention_layer,2_layers_im0.png,Case_N024,slice_007.npy,0.032467473298311234
2_attention_layer,2_layers_im0.png,Case_N025,slice_000.npy,0.0471920408308506
2_attention_layer,2_layers_im0.png,Case_N025,slice_001.npy,0.04221690818667412
2_attention_layer,2_layers_im0.png,Case_N025,slice_002.npy,0.031309716403484344
2_attention_layer,2_layers_im0.png,Case_N025,slice_003.npy,0.03080596774816513
2_attention_layer,2_layers_im0.png,Case_N025,slice_004.npy,0.048009809106588364
