model,generated_image,original_case,original_image,mse
1_attention_layer,1_layers_im0.png,Case_N006,slice_000.npy,0.06512108445167542
1_attention_layer,1_layers_im0.png,Case_N006,slice_001.npy,0.057666610926389694
1_attention_layer,1_layers_im0.png,Case_N006,slice_002.npy,0.05093300715088844
1_attention_layer,1_layers_im0.png,Case_N006,slice_003.npy,0.054900407791137695
1_attention_layer,1_layers_im0.png,Case_N006,slice_004.npy,0.050754185765981674
1_attention_layer,1_layers_im0.png,Case_N006,slice_005.npy,0.0504838228225708
1_attention_layer,1_layers_im0.png,Case_N006,slice_006.npy,0.03934768959879875
1_attention_layer,1_layers_im0.png,Case_N006,slice_007.npy,0.03364099562168121
1_attention_layer,1_layers_im0.png,Case_N006,slice_008.npy,0.04168170318007469
1_attention_layer,1_layers_im0.png,Case_N012,slice_000.npy,0.07197832316160202
1_attention_layer,1_layers_im0.png,Case_N012,slice_001.npy,0.06713877618312836
1_attention_layer,1_layers_im0.png,Case_N012,slice_002.npy,0.07976676523685455
1_attention_layer,1_layers_im0.png,Case_N012,slice_003.npy,0.058698032051324844
1_attention_layer,1_layers_im0.png,Case_N012,slice_004.npy,0.08494721353054047
1_attention_layer,1_layers_im0.png,Case_N012,slice_005.npy,0.07400130480527878
1_attention_layer,1_layers_im0.png,Case_N012,slice_006.npy,0.057377640157938004
1_attention_layer,1_layers_im0.png,Case_N012,slice_007.npy,0.07066120952367783
1_attention_layer,1_layers_im0.png,Case_N012,slice_008.npy,0.0687708705663681
1_attention_layer,1_layers_im0.png,Case_N013,slice_000.npy,0.05321154743432999
1_attention_layer,1_layers_im0.png,Case_N013,slice_001.npy,0.0707518681883812
1_attention_layer,1_layers_im0.png,Case_N013,slice_002.npy,0.06591732800006866
1_attention_layer,1_layers_im0.png,Case_N013,slice_003.npy,0.06775479018688202
1_attention_layer,1_layers_im0.png,Case_N013,slice_004.npy,0.036552488803863525
1_attention_layer,1_layers_im0.png,Case_N013,slice_005.npy,0.0312278363853693
1_attention_layer,1_layers_im0.png,Case_N013,slice_006.npy,0.05273405462503433
1_attention_layer,1_layers_im0.png,Case_N013,slice_007.npy,0.06447196751832962
1_attention_layer,1_layers_im0.png,Case_N014,slice_000.npy,0.05321871489286423
1_attention_layer,1_layers_im0.png,Case_N014,slice_001.npy,0.057646945118904114
1_attention_layer,1_layers_im0.png,Case_N014,slice_002.npy,0.05255096033215523
1_attention_layer,1_layers_im0.png,Case_N014,slice_003.npy,0.06383980065584183
1_attention_layer,1_layers_im0.png,Case_N014,slice_004.npy,0.07574933767318726
1_attention_layer,1_layers_im0.png,Case_N014,slice_005.npy,0.07766024768352509
1_attention_layer,1_layers_im0.png,Case_N016,slice_000.npy,0.04516372084617615
1_attention_layer,1_layers_im0.png,Case_N016,slice_001.npy,0.04652773588895798
1_attention_layer,1_layers_im0.png,Case_N016,slice_002.npy,0.03427448868751526
1_attention_layer,1_layers_im0.png,Case_N016,slice_003.npy,0.04287980869412422
1_attention_layer,1_layers_im0.png,Case_N018,slice_000.npy,0.07413694262504578
1_attention_layer,1_layers_im0.png,Case_N018,slice_001.npy,0.04389788582921028
1_attention_layer,1_layers_im0.png,Case_N018,slice_002.npy,0.04499781131744385
1_attention_layer,1_layers_im0.png,Case_N018,slice_003.npy,0.04069194942712784
1_attention_layer,1_layers_im0.png,Case_N018,slice_004.npy,0.03782806545495987
1_attention_layer,1_layers_im0.png,Case_N018,slice_005.npy,0.037435952574014664
1_attention_layer,1_layers_im0.png,Case_N018,slice_006.npy,0.029857872053980827
1_attention_layer,1_layers_im0.png,Case_N018,slice_007.npy,0.0430399589240551
1_attention_layer,1_layers_im0.png,Case_N020,slice_000.npy,0.07839614152908325
1_attention_layer,1_layers_im0.png,Case_N020,slice_001.npy,0.06718993186950684
1_attention_layer,1_layers_im0.png,Case_N020,slice_002.npy,0.0617155022919178
1_attention_layer,1_layers_im0.png,Case_N020,slice_003.npy,0.06943022459745407
1_attention_layer,1_layers_im0.png,Case_N020,slice_004.npy,0.07230452448129654
1_attention_layer,1_layers_im0.png,Case_N020,slice_005.npy,0.08240213990211487
1_attention_layer,1_layers_im0.png,Case_N020,slice_006.npy,0.08034765720367432
1_attention_layer,1_layers_im0.png,Case_N023,slice_000.npy,0.0545782744884491
1_attention_layer,1_layers_im0.png,Case_N023,slice_001.npy,0.04696819186210632
1_attention_layer,1_layers_im0.png,Case_N023,slice_002.npy,0.0454246923327446
1_attention_layer,1_layers_im0.png,Case_N023,slice_003.npy,0.04331369698047638
1_attention_layer,1_layers_im0.png,Case_N023,slice_004.npy,0.05309899151325226
1_attention_layer,1_layers_im0.png,Case_N023,slice_005.npy,0.05097394436597824
1_attention_layer,1_layers_im0.png,Case_N023,slice_006.npy,0.04704587161540985
1_attention_layer,1_layers_im0.png,Case_N023,slice_007.npy,0.04096578434109688
1_attention_layer,1_layers_im0.png,Case_N024,slice_000.npy,0.08014468848705292
1_attention_layer,1_layers_im0.png,Case_N024,slice_001.npy,0.07716816663742065
1_attention_layer,1_layers_im0.png,Case_N024,slice_002.npy,0.05434897169470787
1_attention_layer,1_layers_im0.png,Case_N024,slice_003.npy,0.05227269232273102
1_attention_layer,1_layers_im0.png,Case_N024,slice_004.npy,0.04855075478553772
1_attention_layer,1_layers_im0.png,Case_N024,slice_005.npy,0.04486578330397606
1_attention_layer,1_layers_im0.png,Case_N024,slice_006.npy,0.04770198091864586
1_attention_layer,1_layers_im0.png,Case_N024,slice_007.npy,0.036763597279787064
1_attention_layer,1_layers_im0.png,Case_N025,slice_000.npy,0.05368984490633011
1_attention_layer,1_layers_im0.png,Case_N025,slice_001.npy,0.06386832147836685
1_attention_layer,1_layers_im0.png,Case_N025,slice_002.npy,0.05289100110530853
1_attention_layer,1_layers_im0.png,Case_N025,slice_003.npy,0.047076787799596786
1_attention_layer,1_layers_im0.png,Case_N025,slice_004.npy,0.05677878111600876
1_attention_layer,1_layers_im0.png,Case_N025,slice_005.npy,0.042991526424884796
